Source,Target,Weight
0,1,1.0000175234450768
0,2,1.0000962661167976
0,4,1.0000423363331814
0,5,1.0000278826279427
0,6,1.0000656316601333
0,8,1.0000022710445813
0,9,1.0000298833160877
0,11,1.0000484837789583
0,12,1.0000324465604344
0,13,1.0000261213163302
0,14,1.0000803976450385
0,15,1.000076633494617
0,16,1.00006483960054
0,17,1.000069337331036
0,18,1.000136033962429
0,19,1.000578218215592
0,20,1.0000598002596215
0,21,1.000123410371204
0,22,1.0002426099939652
0,23,1.0002630067626108
0,24,1.000188945568353
0,26,1.0001713656298152
0,27,1.0002672523317524
0,28,1.0001923358141065
0,29,1.0000530160431444
0,30,1.000040917490746
0,31,1.0004168363653834
0,34,1.000459457547704
0,35,1.000167982821428
0,36,1.0003004428448792
0,37,1.0003022757085671
0,40,1.0000875613154914
0,41,1.0001487853973892
0,42,1.0000446785521904
0,43,1.000460037787222
0,44,1.0005028828173075
0,45,1.0000591515495763
0,46,1.0000810706999128
0,47,1.0010246531114313
0,48,1.0000667589347103
0,49,1.0000930211554873
0,50,1.0002911241858532
0,52,1.0001095075838118
0,53,1.0002409531819678
0,54,1.0001318149411877
0,56,1.0001763035021856
0,57,1.0001065957879507
0,59,1.0000861648599035
0,60,1.0003068614690371
0,61,1.00012674625171
0,62,1.0000811757601795
0,63,1.0000775020069437
0,64,1.0000530967554515
0,65,1.0000675568774295
0,66,1.0000482479565354
0,67,1.0000421860620652
0,68,1.0000702518334665
0,69,1.000056444118838
0,70,1.0001441487910592
0,71,1.0000364719489463
0,72,1.0000514892053103
0,73,1.000514738537426
0,74,1.000151135257788
0,75,1.0000964316622067
0,76,1.0000957052865247
0,77,1.0000187730620973
0,78,1.000302414656503
0,79,1.0000565521690903
0,80,1.0000288928536984
0,81,1.0004406532532513
0,82,1.000348298750907
0,83,1.0001925612546438
0,84,1.0002389193427321
0,85,1.0000409345182586
0,86,1.0002027932409494
0,87,1.0002708725132925
0,88,1.000111881737288
0,89,1.000192100527439
0,90,1.0002268240841323
0,91,1.0002877095181764
0,92,1.0001004372264293
0,93,1.000287461491859
0,94,1.000240636521734
0,95,1.0003078621967165
0,96,1.000053906150518
0,97,1.000027421026655
0,98,1.0000622345552557
1,0,1.0000175234450768
1,2,1.0000402891659972
1,4,1.0000511155103677
1,5,1.0000029812368045
1,6,1.000028406449722
1,8,1.0000107952352366
1,9,1.000018269046163
1,11,1.0000211856504502
1,12,1.000020231978144
1,13,1.0000088073596125
1,14,1.000098819288724
1,15,1.0000757294234224
1,16,1.0001105340100245
1,17,1.0000830524990811
1,18,1.0001752183266244
1,19,1.000638600316875
1,20,1.0000811329770811
