Source,Target,Weight
1,0,1.000093518372875
2,0,1.0002133687605776
4,0,1.00007058973174
5,0,1.0000744688231022
6,0,1.0001299512935844
8,0,1.0001117530146182
9,0,1.0000758517780808
11,0,1.0001370343889344
12,0,1.0000391550245005
13,0,1.0001256370399667
14,0,1.0000189689529262
15,0,1.0000962308633958
16,0,1.0000426821333013
17,0,1.0001774357774067
18,0,1.0000414664970718
19,0,1.0002713430459564
20,0,1.0000187294432046
21,0,1.0000211523459188
22,0,1.0001330563853061
23,0,1.0002267165548295
24,0,1.0000711580662238
26,0,1.0000395727383755
27,0,1.00012317725918
28,0,1.0000576730671518
29,0,1.0000334880563335
30,0,1.0000958741748667
31,0,1.0001949929999976
34,0,1.0002097715879994
35,0,1.0000727844806403
36,0,1.0001026924375764
37,0,1.0001180085504824
40,0,1.00002692071153
41,0,1.0000355323309353
42,0,1.0000336144427489
43,0,1.0002806442219063
44,0,1.0003062081160583
45,0,1.0000212579689551
46,0,1.0000222207854332
47,0,1.0005907068654771
48,0,1.0000038817452133
49,0,1.000021529965405
50,0,1.0001275250810244
52,0,1.0000516540787
53,0,1.0000799427623288
54,0,1.000096616922045
56,0,1.0000487835765957
57,0,1.000103125390361
59,0,1.0000212581350014
60,0,1.0001214067344326
61,0,1.0000675795943306
62,0,1.0000585161102924
63,0,1.0002237936685723
64,0,1.0001453446384991
65,0,1.0002578079275413
66,0,1.000160379887546
67,0,1.0000619930756929
68,0,1.0000707772178905
69,0,1.000077159261273
70,0,1.0000384646813
71,0,1.0000501718419343
72,0,1.000062010735685
73,0,1.00027702248234
74,0,1.000047496669933
75,0,1.000033033439985
76,0,1.0000234563926433
77,0,1.0001142094334274
78,0,1.0001279456444763
79,0,1.000043554324032
80,0,1.0000606275227077
81,0,1.0002105713623628
82,0,1.0002016807681675
83,0,1.000072474037596
84,0,1.0000809440026537
85,0,1.0000219525821539
86,0,1.0001019781343876
87,0,1.000096813544845
88,0,1.0000599493150815
89,0,1.000071160300688
90,0,1.0000904276513738
91,0,1.0001402356558478
92,0,1.0000396452263354
93,0,1.0001153426096296
94,0,1.0001255212481124
95,0,1.0001443899700455
96,0,1.0001970537574956
97,0,1.000124284679183
98,0,1.0001957487536752
